time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.2543661,1,100.0,1,0,1,0
1.4863175,1,100.0,1,0,1,0
1.719607,1,100.0,1,0,1,0
1.9529231,1,100.0,1,0,1,0
2.0693948,1,100.0,0,1,0,1
2.1860867,1,100.0,1,0,1,0
2.4192477,1,100.0,1,0,1,0
2.6522577,1,100.0,1,0,1,0
2.8693486,1,100.0,1,0,1,0
2.8857445,1,100.0,0,1,0,1
3.1026005,1,100.0,1,0,1,0
3.3198054,1,100.0,1,0,1,0
3.553051,1,100.0,1,0,1,0
3.685837,1,100.0,0,1,0,1
3.7865575,1,100.0,1,0,1,0
4.0178315,1,100.0,1,0,1,0
4.2349325,1,100.0,1,0,1,0
4.4520105,1,100.0,1,0,1,0
4.5024108,1,100.0,0,1,0,1
4.6851422,1,100.0,1,0,1,0
4.923583,1,100.0,1,0,1,0
5.1512272,1,100.0,1,0,1,0
5.318211,1,100.0,0,1,0,1
5.3848437,1,100.0,1,0,1,0
5.6014132,1,100.0,1,0,1,0
5.819029,1,100.0,1,0,1,0
6.0516382,1,100.0,1,0,1,0
6.1186429,1,100.0,0,1,0,1
6.284893,1,100.0,1,0,1,0
6.502024,1,100.0,1,0,1,0
6.7193227,1,100.0,1,0,1,0
6.9196444,1,100.0,0,1,0,1
6.9362029,1,100.0,1,0,1,0
7.1667934,1,100.0,1,0,1,0
7.3836581,1,100.0,1,0,1,0
7.6016409,1,100.0,1,0,1,0
7.7348783,1,100.0,0,1,0,1
7.8342373,1,100.0,1,0,1,0
8.067078,1,100.0,1,0,1,0
8.3005014,1,100.0,1,0,1,0
8.533461,1,100.0,1,0,1,0
8.5497789,1,100.0,0,1,0,1
8.7510597,1,100.0,1,0,1,0
8.9759737,1,100.0,1,0,1,0
9.1986588,1,100.0,1,0,1,0
9.351569,1,100.0,0,1,0,1
9.4181525,1,100.0,1,0,1,0
9.6346758,1,100.0,1,0,1,0
9.8652967,1,100.0,1,0,1,0
10.0819796,1,100.0,1,0,1,0
10.1676259,1,100.0,0,1,0,1
10.300169,1,100.0,1,0,1,0
10.5332223,1,100.0,1,0,1,0
10.7514743,1,100.0,1,0,1,0
10.9678397,1,100.0,0,1,0,1
10.9838858,1,100.0,1,0,1,0
11.2001458,1,100.0,1,0,1,0
11.4167189,1,100.0,1,0,1,0
11.6330964,1,100.0,1,0,1,0
11.7833321,1,100.0,0,1,0,1
11.8662644,1,100.0,1,0,1,0
12.0995357,1,100.0,1,0,1,0
