time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
2.4704831,1,120.0,True,False,True,False
3.520961,1,120.0,True,False,True,True
4.5248503,1,120.0,True,False,True,False
5.5356813,1,120.0,True,False,True,True
6.5437909,1,120.0,True,False,True,False
7.5441121,1,120.0,True,False,True,False
8.5596642,1,120.0,True,False,True,False
9.5719543,1,120.0,True,False,True,False
10.5773696,1,120.0,True,False,True,False
11.6053775,1,120.0,True,False,True,False
12.607611,1,120.0,True,False,True,False
13.6123099,1,120.0,True,False,True,False
14.6376031,1,120.0,True,False,True,False
15.637852,1,120.0,True,False,True,False
16.6454028,1,120.0,True,False,True,False
17.6535784,1,120.0,True,False,True,False
18.6828549,1,120.0,True,False,True,False
19.7000504,1,120.0,True,False,True,False
20.7189098,1,120.0,True,False,True,False
23.5155824,2,120.0,True,False,True,True
24.5349474,2,120.0,True,False,True,False
25.537476,2,120.0,True,False,True,False
26.5670361,2,120.0,True,False,True,False
27.5850355,2,120.0,True,False,True,False
28.6069385,2,120.0,True,False,True,True
