time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.2484863,1,100.0,1,0,1,0
1.7805221,1,100.0,1,0,1,0
2.0635393,1,100.0,0,1,0,1
2.3134794,1,100.0,1,0,1,0
2.830008,1,100.0,1,0,1,0
2.8799099,1,100.0,0,1,0,1
3.3469216,1,100.0,1,0,1,0
3.696956,1,100.0,0,1,0,1
3.8797639,1,100.0,1,0,1,0
4.4125846,1,100.0,1,0,1,0
4.5125539,1,100.0,0,1,0,1
4.9456455,1,100.0,1,0,1,0
5.3291342,1,100.0,0,1,0,1
5.4618956,1,100.0,1,0,1,0
5.9786005,1,100.0,1,0,1,0
6.1448105,1,100.0,0,1,0,1
6.5121422,1,100.0,1,0,1,0
6.947231,1,100.0,0,1,0,1
7.0300228,1,100.0,1,0,1,0
7.5472747,1,100.0,1,0,1,0
7.7624518,1,100.0,0,1,0,1
8.0782005,1,100.0,1,0,1,0
8.5789037,1,100.0,0,1,0,1
8.5938386,1,100.0,1,0,1,0
9.1110762,1,100.0,1,0,1,0
9.3940507,1,100.0,0,1,0,1
9.6281789,1,100.0,1,0,1,0
10.1450395,1,100.0,1,0,1,0
10.1944919,1,100.0,0,1,0,1
10.6764328,1,100.0,1,0,1,0
10.9960727,1,100.0,0,1,0,1
11.1951399,1,100.0,1,0,1,0
11.725121,1,100.0,1,0,1,0
11.8111722,1,100.0,0,1,0,1
12.2432509,1,100.0,1,0,1,0
12.6259687,1,100.0,0,1,0,1
12.7582723,1,100.0,1,0,1,0
13.2756324,1,100.0,1,0,1,0
13.4414815,1,100.0,0,1,0,1
13.8080506,1,100.0,1,0,1,0
14.2423825,1,100.0,0,1,0,1
14.3242646,1,100.0,1,0,1,0
14.8409866,1,100.0,1,0,1,0
15.0430502,1,100.0,0,1,0,1
15.3590072,1,100.0,1,0,1,0
15.8585484,1,100.0,0,1,0,1
15.8928521,1,100.0,1,0,1,0
16.4244074,1,100.0,1,0,1,0
16.6752359,1,100.0,0,1,0,1
16.9575952,1,100.0,1,0,1,0
17.4904718,1,100.0,1,0,1,0
17.4904718,1,100.0,0,1,0,1
18.0232866,1,100.0,1,0,1,0
18.2907806,1,100.0,0,1,0,1
18.5404202,1,100.0,1,0,1,0
19.0745704,1,100.0,1,0,1,0
19.09271,1,100.0,0,1,0,1
19.6076808,1,100.0,1,0,1,0
19.905465,1,100.0,0,1,0,1
20.1392046,1,100.0,1,0,1,0
20.6714676,1,100.0,1,0,1,0
20.7062427,1,100.0,0,1,0,1
21.1882849,1,100.0,1,0,1,0
22.2580043,2,100.0,1,0,1,0
22.7893976,2,100.0,1,0,1,0
22.806036,2,100.0,0,1,0,1
23.3062192,2,100.0,1,0,1,0
23.3538424,2,100.0,0,1,0,1
23.838519,2,100.0,1,0,1,0
23.8716449,2,100.0,0,1,0,1
24.3704391,2,100.0,1,0,1,0
24.4038876,2,100.0,0,1,0,1
24.8885219,2,100.0,1,0,1,0
24.9536742,2,100.0,0,1,0,1
25.4206942,2,100.0,1,0,1,0
25.4869417,2,100.0,0,1,0,1
25.9362986,2,100.0,1,0,1,0
26.0364733,2,100.0,0,1,0,1
26.4528416,2,100.0,1,0,1,0
26.5561206,2,100.0,0,1,0,1
26.9705036,2,100.0,1,0,1,0
27.0892822,2,100.0,0,1,0,1
27.503488,2,100.0,1,0,1,0
27.6369236,2,100.0,0,1,0,1
28.0356929,2,100.0,1,0,1,0
28.1553864,2,100.0,0,1,0,1
28.5532031,2,100.0,1,0,1,0
28.6859227,2,100.0,0,1,0,1
29.0861738,2,100.0,1,0,1,0
29.2195617,2,100.0,0,1,0,1
29.6058214,2,100.0,1,0,1,0
29.7522304,2,100.0,0,1,0,1
30.1343973,2,100.0,1,0,1,0
30.2842908,2,100.0,0,1,0,1
30.652318,2,100.0,1,0,1,0
30.8018381,2,100.0,0,1,0,1
31.1849942,2,100.0,1,0,1,0
31.3200946,2,100.0,0,1,0,1
31.7028241,2,100.0,1,0,1,0
31.8681197,2,100.0,0,1,0,1
32.2191756,2,100.0,1,0,1,0
32.4012353,2,100.0,0,1,0,1
32.7355902,2,100.0,1,0,1,0
32.936223,2,100.0,0,1,0,1
33.2498744,2,100.0,1,0,1,0
33.4681128,2,100.0,0,1,0,1
33.7686068,2,100.0,1,0,1,0
34.0009857,2,100.0,0,1,0,1
34.3009223,2,100.0,1,0,1,0
34.5345254,2,100.0,0,1,0,1
34.8343853,2,100.0,1,0,1,0
35.0673266,2,100.0,0,1,0,1
35.3670902,2,100.0,1,0,1,0
35.5999031,2,100.0,0,1,0,1
35.899478,2,100.0,1,0,1,0
36.1177157,2,100.0,0,1,0,1
36.4166718,2,100.0,1,0,1,0
36.6488767,2,100.0,0,1,0,1
36.9348547,2,100.0,1,0,1,0
37.1981587,2,100.0,0,1,0,1
37.4662267,2,100.0,1,0,1,0
37.7332063,2,100.0,0,1,0,1
37.9988269,2,100.0,1,0,1,0
38.2811057,2,100.0,0,1,0,1
38.5315695,2,100.0,1,0,1,0
38.8152551,2,100.0,0,1,0,1
39.064045,2,100.0,1,0,1,0
39.3642058,2,100.0,0,1,0,1
39.58188,2,100.0,1,0,1,0
39.8820007,2,100.0,0,1,0,1
40.0993587,2,100.0,1,0,1,0
40.4315072,2,100.0,0,1,0,1
40.6309361,2,100.0,1,0,1,0
40.965718,2,100.0,0,1,0,1
41.1631861,2,100.0,1,0,1,0
41.5129648,2,100.0,0,1,0,1
41.679797,2,100.0,1,0,1,0
42.0479073,2,100.0,0,1,0,1
42.1989754,2,100.0,1,0,1,0
43.2651256,3,100.0,1,0,1,0
43.7960448,3,100.0,1,0,1,0
43.81306,3,100.0,0,1,0,1
44.3333344,3,100.0,1,0,1,0
44.3333344,3,100.0,0,1,0,1
44.8628805,3,100.0,1,0,1,0
44.8792096,3,100.0,0,1,0,1
