time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.2523134,1,100.0,1,0,1,0
1.469477,1,100.0,1,0,1,0
1.6866253,1,100.0,1,0,1,0
1.9198065,1,100.0,1,0,1,0
2.0524094,1,100.0,0,1,0,1
2.1523286,1,100.0,1,0,1,0
2.3700829,1,100.0,1,0,1,0
2.6024721,1,100.0,1,0,1,0
2.8188132,1,100.0,1,0,1,0
2.8694777,1,100.0,0,1,0,1
3.0340396,1,100.0,1,0,1,0
3.252395,1,100.0,1,0,1,0
3.485308,1,100.0,1,0,1,0
3.6835335,1,100.0,0,1,0,1
3.7168833,1,100.0,1,0,1,0
3.93506,1,100.0,1,0,1,0
4.1666566,1,100.0,1,0,1,0
4.3836765,1,100.0,1,0,1,0
4.4836182,1,100.0,0,1,0,1
4.6019545,1,100.0,1,0,1,0
4.8349378,1,100.0,1,0,1,0
5.0662428,1,100.0,1,0,1,0
5.2839374,1,100.0,1,0,1,0
5.2839374,1,100.0,0,1,0,1
5.5181399,1,100.0,1,0,1,0
5.7510751,1,100.0,1,0,1,0
5.9842253,1,100.0,1,0,1,0
6.1005003,1,100.0,0,1,0,1
6.200555,1,100.0,1,0,1,0
6.4187282,1,100.0,1,0,1,0
6.6516103,1,100.0,1,0,1,0
6.8681769,1,100.0,1,0,1,0
6.9007838,1,100.0,0,1,0,1
7.1003825,1,100.0,1,0,1,0
7.3321929,1,100.0,1,0,1,0
7.5503204,1,100.0,1,0,1,0
7.7170875,1,100.0,0,1,0,1
7.7817987,1,100.0,1,0,1,0
