time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
3.2950138,1,120.0,True,False,True,False
4.2963879,1,120.0,True,False,True,True
5.3123214,1,120.0,True,False,True,False
6.3130469,1,120.0,True,False,True,True
7.3273751,1,120.0,True,False,True,False
8.3428458,1,120.0,True,False,True,False
9.3586338,1,120.0,True,False,True,False
10.374395,1,120.0,True,False,True,True
11.3759709,1,120.0,True,False,True,False
12.3761295,1,120.0,True,False,True,False
13.3768766,1,120.0,True,False,True,False
14.3924682,1,120.0,True,False,True,False
15.3927712,1,120.0,True,False,True,False
