time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.2633036,1,100.0,1,0,1,0
1.7798572,1,100.0,1,0,1,0
2.063812,1,100.0,0,1,0,1
2.3121296,1,100.0,1,0,1,0
2.8311453,1,100.0,1,0,1,0
2.864567,1,100.0,0,1,0,1
3.3627147,1,100.0,1,0,1,0
3.679385,1,100.0,0,1,0,1
3.8809689,1,100.0,1,0,1,0
4.4123768,1,100.0,1,0,1,0
4.4939102,1,100.0,0,1,0,1
4.9302105,1,100.0,1,0,1,0
5.2943451,1,100.0,0,1,0,1
5.461797,1,100.0,1,0,1,0
5.9949066,1,100.0,1,0,1,0
6.0963738,1,100.0,0,1,0,1
6.5124763,1,100.0,1,0,1,0
6.9147416,1,100.0,0,1,0,1
7.0456943,1,100.0,1,0,1,0
7.5781011,1,100.0,1,0,1,0
7.7290399,1,100.0,0,1,0,1
8.0956713,1,100.0,1,0,1,0
8.5424763,1,100.0,0,1,0,1
8.6277667,1,100.0,1,0,1,0
9.1606753,1,100.0,1,0,1,0
9.3445868,1,100.0,0,1,0,1
9.6938893,1,100.0,1,0,1,0
10.1446803,1,100.0,0,1,0,1
10.2104297,1,100.0,1,0,1,0
10.7248031,1,100.0,1,0,1,0
10.9591568,1,100.0,0,1,0,1
11.2450725,1,100.0,1,0,1,0
11.7603854,1,100.0,0,1,0,1
11.7777359,1,100.0,1,0,1,0
12.3100386,1,100.0,1,0,1,0
12.5627788,1,100.0,0,1,0,1
12.8410068,1,100.0,1,0,1,0
13.3600348,1,100.0,1,0,1,0
13.3759315,1,100.0,0,1,0,1
13.8926982,1,100.0,1,0,1,0
14.177559,1,100.0,0,1,0,1
14.4095496,1,100.0,1,0,1,0
14.9424319,1,100.0,1,0,1,0
14.990135,1,100.0,0,1,0,1
15.4731229,1,100.0,1,0,1,0
15.7912527,1,100.0,0,1,0,1
15.9934304,1,100.0,1,0,1,0
16.5224849,1,100.0,1,0,1,0
16.6103376,1,100.0,0,1,0,1
17.0394284,1,100.0,1,0,1,0
17.4257162,1,100.0,0,1,0,1
