time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.2468196,1,100.0,1,0,1,0
1.4787966,1,100.0,1,0,1,0
1.6970909,1,100.0,1,0,1,0
1.9303761,1,100.0,1,0,1,0
2.0471206,1,100.0,0,1,0,1
2.1477939,1,100.0,1,0,1,0
2.3806815,1,100.0,1,0,1,0
2.6127099,1,100.0,1,0,1,0
2.8468143,1,100.0,1,0,1,0
2.8627532,1,100.0,0,1,0,1
3.080071,1,100.0,1,0,1,0
3.3131444,1,100.0,1,0,1,0
3.5463823,1,100.0,1,0,1,0
3.6766289,1,100.0,0,1,0,1
3.7796196,1,100.0,1,0,1,0
4.0122147,1,100.0,1,0,1,0
4.2453882,1,100.0,1,0,1,0
4.4765656,1,100.0,1,0,1,0
4.493368,1,100.0,0,1,0,1
4.6959779,1,100.0,1,0,1,0
4.9278075,1,100.0,1,0,1,0
5.1615209,1,100.0,1,0,1,0
5.2946685,1,100.0,0,1,0,1
5.3945993,1,100.0,1,0,1,0
5.6274761,1,100.0,1,0,1,0
5.8606016,1,100.0,1,0,1,0
6.0939978,1,100.0,1,0,1,0
6.1105394,1,100.0,0,1,0,1
6.3278784,1,100.0,1,0,1,0
6.5606047,1,100.0,1,0,1,0
6.7915237,1,100.0,1,0,1,0
6.9258091,1,100.0,0,1,0,1
7.0100251,1,100.0,1,0,1,0
7.2428571,1,100.0,1,0,1,0
7.459747,1,100.0,1,0,1,0
7.6922856,1,100.0,1,0,1,0
7.7419267,1,100.0,0,1,0,1
7.9089153,1,100.0,1,0,1,0
8.1253762,1,100.0,1,0,1,0
8.3420428,1,100.0,1,0,1,0
8.5440193,1,100.0,0,1,0,1
8.5610722,1,100.0,1,0,1,0
8.8028459,1,100.0,1,0,1,0
9.0258632,1,100.0,1,0,1,0
9.243011,1,100.0,1,0,1,0
9.3593954,1,100.0,0,1,0,1
9.4740806,1,100.0,1,0,1,0
9.6932234,1,100.0,1,0,1,0
9.9249957,1,100.0,1,0,1,0
10.1436326,1,100.0,1,0,1,0
10.1605682,1,100.0,0,1,0,1
