time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
2.274264,1,120.0,True,False,True,False
3.290463,1,120.0,True,False,True,True
4.3060232,1,120.0,True,False,True,False
5.3219638,1,120.0,True,False,True,False
6.3220769,1,120.0,True,False,True,False
7.3391348,1,120.0,True,False,True,False
8.3549307,1,120.0,True,False,True,False
9.3712449,1,120.0,True,False,True,False
10.3738182,1,120.0,True,False,True,False
11.3758311,1,120.0,True,False,True,False
12.3877894,1,120.0,True,False,True,False
